Sequenz;Verkaufsbeleg;Position;Name;MatBereitstell;Materialnummer;Text;Quality;;Quality-Version;YSOR vers.;Arbeitsplatz;Bedarfsmenge SD;Gewicht/1 ST [KG];Vorgangsmenge;Vorgangsmenge [TO];Gedrückt;Rest Presse;Rest Presse [TO];Auftrag;Modellnummer
0;520005055;230;TRIMET ALUMINIUM SE;21.08.2020;8100091472;F317X145X115 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;20,000;8,448;21,000;0,177;0,000;21,000;0,177;110000151327;M.-16447
0;520005055;280;TRIMET ALUMINIUM SE;21.08.2020;8100091476;F124X120X89 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;20,000;1,770;21,000;0,037;0,000;21,000;0,037;110000151362;M.-16440
0;520005055;330;TRIMET ALUMINIUM SE;21.08.2020;8100091462;F203X181X120 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;20,000;4,971;21,000;0,104;0,000;21,000;0,104;110000151397;M.-16427
0;520005055;340;TRIMET ALUMINIUM SE;21.08.2020;8100091464;F227X179X120 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;20,000;5,985;21,000;0,126;0,000;21,000;0,126;110000151404;M.-16428
0;520005055;360;TRIMET ALUMINIUM SE;21.08.2020;8100091469;290X120X120 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;10,000;8,853;11,000;0,097;0,000;11,000;0,097;110000151418;M.-16448
0;520005055;410;TRIMET ALUMINIUM SE;21.08.2020;8100091466;F180X172X120 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;10,000;6,288;11,000;0,069;0,000;11,000;0,069;110000151453;M.-16430A
0;520005055;420;TRIMET ALUMINIUM SE;21.08.2020;8100091477;F142X128X120 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;40,000;3,142;42,000;0,132;0,000;42,000;0,132;110000151460;M.-16445
0;520005055;440;TRIMET ALUMINIUM SE;21.08.2020;8100091475;F210X120X80 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;20,000;3,795;21,000;0,080;0,000;21,000;0,080;110000151474;M.-16439
0;520005055;500;TRIMET ALUMINIUM SE;21.08.2020;8100091465;F225X180X120 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;10,000;8,715;11,000;0,096;0,000;11,000;0,096;110000151516;M.-16430
0;520005055;520;TRIMET ALUMINIUM SE;21.08.2020;8100091474;F100X85X64 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;20,000;0,871;21,000;0,018;0,000;21,000;0,018;110000151530;M.-16438
0;520005055;530;TRIMET ALUMINIUM SE;21.08.2020;8100091473;F209X132X64 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;20,000;3,610;21,000;0,076;0,000;21,000;0,076;110000151537;M.-16437
0;520005056;10;TRIMET ALUMINIUM SE;01.09.2020;8100089978;F295X140X64 BB20 \ o.G.;900511;BB20-9.55901.000-S;H001;'@5F@;P-SA-V4;20,000;6,352;21,000;0,133;0,000;21,000;0,133;110000151558;M.-16386A
0;520005056;130;TRIMET ALUMINIUM SE;01.09.2020;8100091467;F292X144X64 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;20,000;5,701;21,000;0,120;0,000;21,000;0,120;110000151642;M.-16433A
0;520005056;150;TRIMET ALUMINIUM SE;01.09.2020;8100091468;292X144X64 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;40,000;5,705;42,000;0,240;0,000;42,000;0,240;110000151656;M.-16433
0;520005056;160;TRIMET ALUMINIUM SE;01.09.2020;8100091463;F247X179X115 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;20,000;6,320;21,000;0,133;0,000;21,000;0,133;110000151663;M.-16428
0;520005056;170;TRIMET ALUMINIUM SE;01.09.2020;8100091461;F203X181X115 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;20,000;4,766;21,000;0,100;0,000;21,000;0,100;110000151670;M.-16427
0;520005056;210;TRIMET ALUMINIUM SE;01.09.2020;8100091471;F195X158X115 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;20,000;4,645;21,000;0,098;0,000;21,000;0,098;110000151698;M.-16446
0;520005056;220;TRIMET ALUMINIUM SE;01.09.2020;8100091478;F118X115X97 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;20,000;2,690;21,000;0,056;0,000;21,000;0,056;110000151705;M.-16444
0;520005056;230;TRIMET ALUMINIUM SE;01.09.2020;8100091472;F317X145X115 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;20,000;8,448;21,000;0,177;0,000;21,000;0,177;110000151712;M.-16447
0;520005056;280;TRIMET ALUMINIUM SE;01.09.2020;8100091476;F124X120X89 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;20,000;1,770;21,000;0,037;0,000;21,000;0,037;110000151747;M.-16440
0;520005056;330;TRIMET ALUMINIUM SE;01.09.2020;8100091462;F203X181X120 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;20,000;4,971;21,000;0,104;0,000;21,000;0,104;110000151782;M.-16427
0;520005056;340;TRIMET ALUMINIUM SE;01.09.2020;8100091464;F227X179X120 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;20,000;5,985;21,000;0,126;0,000;21,000;0,126;110000151789;M.-16428
0;520005056;360;TRIMET ALUMINIUM SE;01.09.2020;8100091469;290X120X120 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;10,000;8,853;11,000;0,097;0,000;11,000;0,097;110000151803;M.-16448
0;520005056;410;TRIMET ALUMINIUM SE;01.09.2020;8100091466;F180X172X120 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;10,000;6,288;11,000;0,069;0,000;11,000;0,069;110000151838;M.-16430A
0;520005056;420;TRIMET ALUMINIUM SE;01.09.2020;8100091477;F142X128X120 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;40,000;3,142;42,000;0,132;0,000;42,000;0,132;110000151845;M.-16445
0;520005056;440;TRIMET ALUMINIUM SE;01.09.2020;8100091475;F210X120X80 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;20,000;3,795;21,000;0,080;0,000;21,000;0,080;110000151859;M.-16439
0;520005056;500;TRIMET ALUMINIUM SE;01.09.2020;8100091465;F225X180X120 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;10,000;8,715;11,000;0,096;0,000;11,000;0,096;110000151901;M.-16430
0;520005056;520;TRIMET ALUMINIUM SE;01.09.2020;8100091474;F100X85X64 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;20,000;0,871;21,000;0,018;0,000;21,000;0,018;110000151915;M.-16438
0;520005056;530;TRIMET ALUMINIUM SE;01.09.2020;8100091473;F209X132X64 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;20,000;3,610;21,000;0,076;0,000;21,000;0,076;110000151922;M.-16437
0;520005105;20;CEBRACE Cristal Plano Ltda;17.02.2020;8100053782;450X114X76 OT70 \ 450x114x76 PD-S70;900508;OT70-9.43001.000-S;H001;'@9V@;P-SA-V4;75,000;10,449;80,000;0,836;0,000;80,000;0,836;110000152004;M.-14510A
0;520005044;110;TRIMET Aluminium SE;11.05.2020;8100052905;1B-76 IK46VP \ 1B-76 PD-F48;900549;IK46VP-9.39901.089-S;H001;'@9V@;P-SA-V4;1.064,000;7,036;1.096,000;7,711;0,000;1.096,000;7,711;110000154509;M.-4622
0;520005044;220;TRIMET Aluminium SE;31.08.2020;8100052905;1B-76 IK46VP \ 1B-76 PD-F48;900549;IK46VP-9.39901.089-S;H001;'@9V@;P-SA-V4;1.064,000;7,036;1.096,000;7,711;0,000;1.096,000;7,711;110000154522;M.-4622
0;520005046;160;TRIMET ALUMINIUM SE;31.01.2020;8100053176;250X124X45 BB20 \ 2-45 PD-B80+;900511;BB20-9.55901.000-S;H001;'@5F@;P-SA-V4;110,000;3,697;114,000;0,421;0,000;114,000;0,421;110000154931;M.-526
0;520005047;160;TRIMET ALUMINIUM SE;13.07.2020;8100053176;250X124X45 BB20 \ 2-45 PD-B80+;900511;BB20-9.55901.000-S;H001;'@5F@;P-SA-V4;110,000;3,697;114,000;0,421;0,000;114,000;0,421;110000154938;M.-526
0;520005048;160;TRIMET ALUMINIUM SE;21.09.2020;8100053176;250X124X45 BB20 \ 2-45 PD-B80+;900511;BB20-9.55901.000-S;H001;'@5F@;P-SA-V4;110,000;3,697;114,000;0,421;0,000;114,000;0,421;110000154945;M.-526
0;520005049;160;TRIMET ALUMINIUM SE;26.10.2020;8100053176;250X124X45 BB20 \ 2-45 PD-B80+;900511;BB20-9.55901.000-S;H001;'@5F@;P-SA-V4;110,000;3,697;114,000;0,421;0,000;114,000;0,421;110000154952;M.-526
0;520005047;150;TRIMET ALUMINIUM SE;13.07.2020;8100053044;2 EII \ 2 PD-F22;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;330,000;4,206;340,000;1,430;0,000;340,000;1,430;110000154910;M.-409
0;520005048;150;TRIMET ALUMINIUM SE;21.09.2020;8100053044;2 EII \ 2 PD-F22;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;330,000;4,206;340,000;1,430;0,000;340,000;1,430;110000154917;M.-409
0;520005049;150;TRIMET ALUMINIUM SE;26.10.2020;8100053044;2 EII \ 2 PD-F22;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;330,000;4,206;340,000;1,430;0,000;340,000;1,430;110000154924;M.-409
0;520005047;20;TRIMET ALUMINIUM SE;13.07.2020;8100055078;F31-1A EII \ F31-1A PD-F22;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;140,000;5,974;145,000;0,866;0,000;145,000;0,866;110000154542;M.-13382
0;520005048;20;TRIMET ALUMINIUM SE;21.09.2020;8100055078;F31-1A EII \ F31-1A PD-F22;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;140,000;5,974;145,000;0,866;0,000;145,000;0,866;110000154549;M.-13382
0;520005049;20;TRIMET ALUMINIUM SE;26.10.2020;8100055078;F31-1A EII \ F31-1A PD-F22;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;140,000;5,974;145,000;0,866;0,000;145,000;0,866;110000154556;M.-13382
0;520005148;30;TOMAGO ALUMINIUM COMPANY PTY LIMITE;13.03.2020;8100055309;K145 IK46VP \ o.G.;900549;IK46VP-9.39901.089-S;H001;'@9V@;P-SA-V4;810,000;3,178;448,000;1,424;0,000;448,000;1,424;110000155330;M.-15832
0;520005149;30;TOMAGO ALUMINIUM COMPANY PTY LIMITE;02.04.2020;8100055309;K145 IK46VP \ o.G.;900549;IK46VP-9.39901.089-S;H001;'@9V@;P-SA-V4;164,000;3,178;169,000;0,537;0,000;169,000;0,537;110000155447;M.-15832
0;520005150;30;TOMAGO ALUMINIUM COMPANY PTY LIMITE;13.04.2020;8100055309;K145 IK46VP \ o.G.;900549;IK46VP-9.39901.089-S;H001;'@9V@;P-SA-V4;540,000;3,178;557,000;1,770;0,000;557,000;1,770;110000155564;M.-15832
0;520005151;30;TOMAGO ALUMINIUM COMPANY PTY LIMITE;13.05.2020;8100055309;K145 IK46VP \ o.G.;900549;IK46VP-9.39901.089-S;H001;'@9V@;P-SA-V4;450,000;3,178;464,000;1,475;0,000;464,000;1,475;110000155681;M.-15832
0;520005152;30;TOMAGO ALUMINIUM COMPANY PTY LIMITE;12.06.2020;8100055309;K145 IK46VP \ o.G.;900549;IK46VP-9.39901.089-S;H001;'@9V@;P-SA-V4;540,000;3,178;557,000;1,770;0,000;557,000;1,770;110000156081;M.-15832
0;520005153;30;TOMAGO ALUMINIUM COMPANY PTY LIMITE;13.07.2020;8100055309;K145 IK46VP \ o.G.;900549;IK46VP-9.39901.089-S;H001;'@9V@;P-SA-V4;450,000;3,178;464,000;1,475;0,000;464,000;1,475;110000156094;M.-15832
0;520005046;20;TRIMET ALUMINIUM SE;31.01.2020;8100055078;F31-1A EII \ F31-1A PD-F22;900545;EII-9.23000.063-A;H005;'@9V@;P-SA-V4;140,000;5,974;145,000;0,866;0,000;145,000;0,866;110000155823;M.-13382
0;520005046;150;TRIMET ALUMINIUM SE;31.01.2020;8100053044;2 EII \ 2 PD-F22;900545;EII-9.23000.063-A;H005;'@9V@;P-SA-V4;330,000;4,206;340,000;1,430;0,000;340,000;1,430;110000156030;M.-409
0;520005154;30;TOMAGO ALUMINIUM COMPANY PTY LIMITE;13.08.2020;8100055309;K145 IK46VP \ o.G.;900549;IK46VP-9.39901.089-S;H001;'@9V@;P-SA-V4;540,000;3,178;557,000;1,770;0,000;557,000;1,770;110000156350;M.-15832
0;520005155;30;TOMAGO ALUMINIUM COMPANY PTY LIMITE;13.10.2020;8100055309;K145 IK46VP \ o.G.;900549;IK46VP-9.39901.089-S;H001;'@9V@;P-SA-V4;270,000;3,178;279,000;0,887;0,000;279,000;0,887;110000156363;M.-15832
0;520005156;30;TOMAGO ALUMINIUM COMPANY PTY LIMITE;12.11.2020;8100055309;K145 IK46VP \ o.G.;900549;IK46VP-9.39901.089-S;H001;'@9V@;P-SA-V4;180,000;3,178;186,000;0,591;0,000;186,000;0,591;110000156689;M.-15832
0;520005157;30;TOMAGO ALUMINIUM COMPANY PTY LIMITE;02.12.2020;8100055309;K145 IK46VP \ o.G.;900549;IK46VP-9.39901.089-S;H001;'@9V@;P-SA-V4;164,000;3,178;169,000;0,537;0,000;169,000;0,537;110000156819;M.-15832
0;520005136;220;Hydro Aluminium A.S.;20.04.2020;8100054589;AK308 HR50 \ AK308 PD-S52;900547;HR50-9.39801.024-S;H009;'@9V@;P-SA-V4;50,000;6,721;52,000;0,349;0,000;52,000;0,349;110000157886;M.-15130
0;520005168;50;TRIMET ALUMINIUM SE;10.02.2020;8100089977;295X140X64 BB20 \ o.G.;900511;BB20-9.55901.000-S;H001;'@5F@;P-SA-V4;40,000;7,004;42,000;0,294;0,000;42,000;0,294;110000158058;M.-16386
0;520005169;50;TRIMET ALUMINIUM SE;02.03.2020;8100089977;295X140X64 BB20 \ o.G.;900511;BB20-9.55901.000-S;H001;'@5F@;P-SA-V4;40,000;7,004;42,000;0,294;0,000;42,000;0,294;110000158447;M.-16386
0;520005168;10;TRIMET ALUMINIUM SE;10.02.2020;8100089978;F295X140X64 BB20 \ o.G.;900511;BB20-9.55901.000-S;H001;'@5F@;P-SA-V4;20,000;6,352;21,000;0,133;0,000;21,000;0,133;110000158030;M.-16386A
0;520005169;10;TRIMET ALUMINIUM SE;02.03.2020;8100089978;F295X140X64 BB20 \ o.G.;900511;BB20-9.55901.000-S;H001;'@5F@;P-SA-V4;20,000;6,352;21,000;0,133;0,000;21,000;0,133;110000158419;M.-16386A
0;520005168;70;TRIMET ALUMINIUM SE;10.02.2020;8100089982;330X146X64 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;225,000;6,538;232,000;1,517;0,000;232,000;1,517;110000158072;M.-16380
0;520005169;70;TRIMET ALUMINIUM SE;02.03.2020;8100089982;330X146X64 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;225,000;6,538;232,000;1,517;0,000;232,000;1,517;110000158461;M.-16380
